"Time","S0 (cascade/3_1, 1)","S0 (cascade/3_1, 10)","S0 (cascade/3_1, 2)","S0 (cascade/3_1, 3)","S0 (cascade/3_1, 4)","S0 (cascade/3_1, 5)","S0 (cascade/3_1, 6)","S0 (cascade/3_1, 7)","S0 (cascade/3_1, 8)","S0 (cascade/3_1, 9)"
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0
19.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0
20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0
21.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0
22.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0
23.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
24.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
25.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
26.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
27.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
28.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
29.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0
30.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0
31.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0
32.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0
33.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,10.0
34.0,0.0,10.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
35.0,0.0,10.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
36.0,0.0,10.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
37.0,0.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
38.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
39.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
40.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
41.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0
42.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,20.0,20.0
43.0,10.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,20.0,20.0
44.0,10.0,30.0,20.0,0.0,20.0,20.0,10.0,10.0,20.0,20.0
45.0,10.0,30.0,20.0,0.0,20.0,20.0,10.0,10.0,20.0,20.0
46.0,10.0,30.0,20.0,0.0,20.0,20.0,10.0,10.0,20.0,20.0
47.0,10.0,30.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0
48.0,10.0,30.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0
49.0,10.0,30.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0
50.0,10.0,30.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0
51.0,10.0,30.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0
52.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,20.0
53.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,20.0
54.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,20.0
55.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0
56.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0
57.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0
58.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0
59.0,10.0,30.0,30.0,10.0,20.0,20.0,10.0,20.0,30.0,20.0
60.0,10.0,30.0,30.0,10.0,30.0,20.0,10.0,20.0,30.0,20.0
61.0,20.0,30.0,30.0,10.0,30.0,20.0,10.0,20.0,30.0,20.0
62.0,20.0,30.0,30.0,10.0,40.0,20.0,10.0,30.0,30.0,20.0
63.0,20.0,40.0,30.0,10.0,50.0,20.0,10.0,30.0,30.0,20.0
64.0,30.0,40.0,30.0,10.0,50.0,20.0,10.0,30.0,30.0,20.0
65.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,30.0,30.0,20.0
66.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,30.0,30.0,20.0
67.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,30.0,20.0
68.0,30.0,40.0,30.0,10.0,50.0,30.0,10.0,40.0,30.0,20.0
